DATE,CSUSHPINSA
2004-07-01,152.33700000000002
2004-08-01,153.814
2004-09-01,155.108
2004-10-01,156.299
2004-11-01,157.496
2004-12-01,158.67
2005-01-01,160.13
2005-02-01,161.924
2005-03-01,164.576
2005-04-01,166.99900000000002
2005-05-01,169.544
2005-06-01,172.015
2005-07-01,174.097
2005-08-01,175.922
2005-09-01,177.61
2005-10-01,178.752
2005-11-01,179.674
2005-12-01,180.107
2006-01-01,180.828
2006-02-01,181.5
2006-03-01,182.74900000000002
2006-04-01,183.648
2006-05-01,184.38
2006-06-01,184.547
2006-07-01,184.607
2006-08-01,184.40400000000002
2006-09-01,184.19799999999998
2006-10-01,184.055
2006-11-01,183.63299999999998
2006-12-01,183.231
2007-01-01,182.72
2007-02-01,182.472
2007-03-01,182.19400000000002
2007-04-01,182.132
2007-05-01,181.885
2007-06-01,181.54
2007-07-01,180.993
2007-08-01,180.235
2007-09-01,179.122
2007-10-01,177.53
2007-11-01,175.162
2007-12-01,173.338
2008-01-01,171.079
2008-02-01,169.19299999999998
2008-03-01,167.905
2008-04-01,167.32299999999998
2008-05-01,167.02
2008-06-01,166.537
2008-07-01,165.71400000000003
2008-08-01,164.27900000000002
2008-09-01,161.91299999999998
2008-10-01,159.164
2008-11-01,156.072
2008-12-01,152.54399999999998
2009-01-01,149.361
2009-02-01,147.616
2009-03-01,146.514
2009-04-01,146.94299999999998
2009-05-01,148.171
2009-06-01,149.797
2009-07-01,150.748
2009-08-01,150.667
2009-09-01,149.625
2009-10-01,148.582
2009-11-01,147.937
2009-12-01,146.664
2010-01-01,145.003
2010-02-01,143.055
2010-03-01,143.597
2010-04-01,145.40200000000002
2010-05-01,147.037
2010-06-01,147.702
2010-07-01,147.563
2010-08-01,146.428
2010-09-01,144.608
2010-10-01,143.127
2010-11-01,141.819
2010-12-01,140.63299999999998
2011-01-01,139.045
2011-02-01,137.74200000000002
2011-03-01,137.793
2011-04-01,139.161
2011-05-01,140.69299999999998
2011-06-01,141.945
2011-07-01,142.341
2011-08-01,141.785
2011-09-01,140.16899999999998
2011-10-01,138.412
2011-11-01,136.668
2011-12-01,135.16899999999998
2012-01-01,134.167
2012-02-01,133.993
2012-03-01,135.862
2012-04-01,138.472
2012-05-01,141.05100000000002
2012-06-01,143.171
2012-07-01,144.283
2012-08-01,144.705
2012-09-01,144.357
2012-10-01,143.967
2012-11-01,143.96
2012-12-01,143.86700000000002
2013-01-01,144.312
2013-02-01,145.16299999999998
2013-03-01,147.96200000000002
2013-04-01,150.97
2013-05-01,153.863
2013-06-01,156.433
2013-07-01,158.296
2013-08-01,159.404
2013-09-01,159.68200000000002
2013-10-01,159.562
2013-11-01,159.366
2013-12-01,159.284
2014-01-01,159.374
2014-02-01,159.878
2014-03-01,161.194
2014-04-01,162.972
2014-05-01,164.68599999999998
2014-06-01,166.215
2014-07-01,167.14
2014-08-01,167.455
2014-09-01,167.24599999999998
2014-10-01,166.915
2014-11-01,166.66299999999998
2014-12-01,166.467
2015-01-01,166.25799999999998
2015-02-01,166.642
2015-03-01,168.09799999999998
2015-04-01,169.977
2015-05-01,171.856
2015-06-01,173.457
2015-07-01,174.502
2015-08-01,174.946
2015-09-01,175.055
2015-10-01,175.062
2015-11-01,175.157
2015-12-01,175.13299999999998
2016-01-01,175.055
2016-02-01,175.301
2016-03-01,176.61900000000003
2016-04-01,178.50900000000001
2016-05-01,180.354
2016-06-01,181.926
2016-07-01,183.03
2016-08-01,183.668
2016-09-01,183.958
2016-10-01,184.033
2016-11-01,184.24599999999998
2016-12-01,184.419
2017-01-01,184.672
2017-02-01,185.04
2017-03-01,186.546
2017-04-01,188.55599999999998
2017-05-01,190.554
2017-06-01,192.28799999999998
2017-07-01,193.53900000000002
2017-08-01,194.375
2017-09-01,194.84400000000002
2017-10-01,195.107
2017-11-01,195.47
2017-12-01,195.864
2018-01-01,196.13400000000001
2018-02-01,196.924
2018-03-01,198.593
2018-04-01,200.636
2018-05-01,202.47400000000002
2018-06-01,204.06599999999997
2018-07-01,204.97400000000002
2018-08-01,205.352
2018-09-01,205.39700000000002
2018-10-01,205.391
2018-11-01,205.12900000000002
2018-12-01,204.722
2019-01-01,204.233
2019-02-01,204.467
2019-03-01,205.81599999999997
2019-04-01,207.729
2019-05-01,209.393
2019-06-01,210.62900000000002
2019-07-01,211.38099999999997
2019-08-01,211.74
2019-09-01,211.92
2019-10-01,212.014
2019-11-01,212.15400000000002
2019-12-01,212.283
2020-01-01,212.435
2020-02-01,213.25
2020-03-01,215.225
2020-04-01,217.27200000000002
2020-05-01,218.523
2020-06-01,219.84799999999998
2020-07-01,221.604
2020-08-01,224.08599999999998
2020-09-01,226.845
2020-10-01,229.863
2020-11-01,232.375
2020-12-01,234.43
2021-01-01,236.513
2021-02-01,239.29
2021-03-01,244.294
2021-04-01,249.898
2021-05-01,255.524
2021-06-01,261.254
2021-07-01,265.587
2021-08-01,268.855
2021-09-01,271.502
2021-10-01,273.71
2021-11-01,276.092
2021-12-01,278.681
2022-01-01,282.06
2022-02-01,287.307
2022-03-01,294.717
2022-04-01,301.472
2022-05-01,305.975
